,supermarket,product,product_name,product_price
0,sfw,Milk,Dairyland 2% Milk 1 L,2.99
1,sfw,Tomato sauce,Hunt's Fat-Free Tomato Sauce 680 ml,2.99
2,sfw,Spaguetti,Catelli Pasta Spaghetti 900 g,5.49
3,sfw,Bacon,Schneiders Hickory Smoked Classic Cut Bacon 375 g,4.99
4,sfw,Beans,Unico Black Beans 540 ml,2.49
5,sfw,Strawberries,Strawberries 454 g,7.29
6,sof,Milk,"Dairyland - 2% Milk, 1 Litre",2.89
7,sof,Tomato sauce,"Hunt's - Tomato Sauce, 680 Millilitre",3.29
8,sof,Spaguetti,"Catelli - Classic, Spaghetti Pasta, 900 Gram",4.99
9,sof,Bacon,"Schneiders - Hickory Smoked Classic Cut Bacon, 375 Gram",8.49
10,sof,Beans,"Unico - Black Beans, 540 Millilitre",2.99
11,sof,Strawberries,"Strawberries - Fresh, 1 Pound",3.49
