,datetime,supermarket,product,product_name,product_price
0,2023-03-04 17:02:30.202493,sfw,Milk,Dairyland 2% Milk 1 L,2.99
1,2023-03-04 17:02:31.228087,sfw,Tomato sauce,Hunt's Fat-Free Tomato Sauce 680 ml,2.99
2,2023-03-04 17:02:32.174840,sfw,Spaguetti,Catelli Pasta Spaghetti 900 g,5.49
3,2023-03-04 17:02:33.242297,sfw,Bacon,Schneiders Hickory Smoked Classic Cut Bacon 375 g,7.99
4,2023-03-04 17:02:33.966025,sfw,Beans,Unico Black Beans 540 ml,2.49
5,2023-03-04 17:02:34.763420,sfw,Strawberries,Strawberries 454 g,6.99
6,2023-03-04 17:02:35.487171,sfw,Bread,Dempster's White Bread Stay Fresh 570 g,3.89
7,2023-03-04 17:02:36.196398,sfw,Sliced ham,Maple Leaf Natural Selections Sliced Deli Ham Baked 175 g,8.49
8,2023-03-04 17:02:36.954902,sfw,Sliced cheese,Cracker Barrel Slices Cheese Mozzarella 240 g,6.69
9,2023-03-04 17:02:37.628753,sfw,Hot dogs,Maple Leaf Natural Top Dogs Original Hot Dogs 375 g,3.99
10,2023-03-04 17:02:39.099539,sof,Milk,"Dairyland - 2% Milk, 1 Litre",2.89
11,2023-03-04 17:02:39.906376,sof,Tomato sauce,"Hunt's - Tomato Sauce, 680 Millilitre",3.29
12,2023-03-04 17:02:40.590530,sof,Spaguetti,"Catelli - Classic, Spaghetti Pasta, 900 Gram",4.49
13,2023-03-04 17:02:41.446225,sof,Bacon,"Schneiders - Hickory Smoked Classic Cut Bacon, 375 Gram",8.49
14,2023-03-04 17:02:42.756711,sof,Beans,"Unico - Black Beans, 540 Millilitre",2.99
15,2023-03-04 17:02:44.128765,sof,Strawberries,"Strawberries - Fresh, 1 Pound",6.99
16,2023-03-04 17:02:45.258274,sof,Bread,"Dempster's - White Bread - Sliced, 570 Gram",4.99
17,2023-03-04 17:02:46.121898,sof,Sliced ham,"Maple Leaf - Natural Selections Sliced Deli Ham, Baked, 175 Gram",7.99
18,2023-03-04 17:02:46.858576,sof,Sliced cheese,"Cracker Barrel - Mozzarella Cheese Slices, 240 Gram",6.99
19,2023-03-04 17:02:47.548730,sof,Hot dogs,"Maple Leaf - Natural Top Dogs Original Hot Dogs, 375 Gram",7.49
